# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R1	2.059011e-58
R2	2.538980e-45
R3	4.906313e-17
R4	2.209879e-23
R5	6.742198e-36
R6	9.687032e+07
R7	7.879268e-29
R8	7.755501e-04
R9	1.452062e-30
R10	7.955345e-53
R11	2.011992e-29
R12	8.598580e-25
R13	1.262126e-24
R14	1.024562e-19
R15	4.790964e-41
R16	3.424159e-23
R17	1.640754e-19
R18	1.185245e-27
R19	2.125405e-33
R20	3.263507e-18
R21	7.077060e-23
R22	3.860213e-23
R23	1.796943e-24
R24	9.989033e-18
R25	1.262981e-15
R26	2.827498e-03
R27	4.318852e-31
R28	1.196753e-32
R29	2.186617e-19
R30	5.727445e-16
R31	1.763331e-11
R32	1.281671e-06
R33	8.294511e-04
R34	7.875857e-22
R35	6.085474e-10
R36	2.164896e-22
R37	1.639284e-13
R38	2.012407e-20
R39	1.610839e-24
R40	7.317677e+01
R41	2.148836e-55
R44	8.368190e-12
R45	4.019150e-15
R46	2.009575e-16
R47	2.120540e-16
R48	9.594434e-14
R49	2.520930e-23
R50	5.937360e-09
R51	1.944608e-18
R52	1.963841e-19
R53	1.137859e-12
R54	1.813734e-11
R55	1.259127e-09
R56	3.943550e-04
R57	1.745080e-31
R59	8.276086e-18
R60	5.019093e-11
R61	4.499722e-12
R62	2.039749e-22
R63	8.083693e-19
R64	1.519759e-13
R65	6.470652e-20
R66	1.768493e-07
R67	2.356185e-12
R68	3.570512e-08
R69	3.580455e-16
R70	3.491700e-07
R71	2.327800e-06
R72	1.040632e-12
R73	1.432793e-22
R74	1.614746e-29
R75	3.499828e-23
R76	7.449491e-19
R77	7.449491e-18
R78	9.914359e-23
R79	1.926742e-10
R80	1.495452e-15
R81	1.520495e+05
R82	7.150138e-19
R83	4.115130e-13
R84	1.887361e-12
R85	2.773540e-11
R86	1.692329e-11
R87	7.757786e-19
R88	0.000000e+00
R89	0.000000e+00
R90	0.000000e+00
R91	1.376034e-12
R92	2.409001e-11
R93	5.486421e-15
R94	4.039008e-16
R95	1.890542e-15
R96	1.508200e-11
R97	1.674495e-14
R98	5.487957e-18
R99	4.914194e-08
R100	3.938589e-07
R101	8.186172e-14
R102	0.000000e+00
R103	0.000000e+00
R104	0.000000e+00
R105	0.000000e+00
R106	0.000000e+00
R107	0.000000e+00
R108	2.643687e-16
R109	9.499672e-17
R110	6.550359e-09
R111	1.356129e-13
R112	2.277209e-12
R113	1.150884e-09
R114	2.301768e-09
R115	1.679101e-19
R116	3.332130e-12
R117	1.982964e-11
R118	3.203734e+08
R119	1.845277e-12
R120	1.421838e-87
R121	3.302175e-71
R122	4.175045e-44
R123	6.931146e+01
R124	1.505824e-21
R125	3.069511e-24
R126	6.030872e-31
R127	6.841795e-08
R128	2.082880e-39
R129	2.788669e-28
R130	7.424889e-02
R131	9.525128e-09
R132	1.021378e-09
R133	8.596312e-01
R134	4.688897e-01
R135	9.168989e-18
R136	4.381683e-12
R137	5.331422e-09
R138	8.671588e-09
R140	2.250768e-08
R141	1.125384e-09
R142	1.185920e-06
R143	8.401615e-13
R145	9.910770e+00
R146	2.187546e+01
R147	6.353250e+00
R148	2.096852e+01
R149	4.167461e-15
R150	6.080099e-09
R152	2.207779e-01
R153	1.241953e-01
R154	7.762208e-03
R155	3.401987e-04
R156	8.991604e-19
R157	5.549275e-02
R159	2.540483e-04
R160	8.504890e-09
R161	1.026210e-08
R162	2.757969e+05
R163	6.576325e-05
