# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R316	1.913281e+01
R317	4.374657e+01
R319	1.559407e+04
R320	5.756107e+07
R321	4.450250e-08
R322	3.495789e+06
R323	5.428534e+05
R324	3.884210e+05
R325	4.559158e-11
R326	1.944432e+05
R327	2.736918e+07
R328	4.057368e+02
R329	2.106885e+08
R330	4.561237e+04
R331	2.294881e+02
R332	4.068077e+02
R333	1.410550e-02
R334	1.024129e-02
R335	4.791867e-06
R336	2.865252e-04
R337	9.100303e-05
R338	1.881222e-01
R339	5.657811e-01
R340	3.536132e+00
R341	1.937800e+00
R342	1.980234e+00
R346	3.469536e-02
R347	2.367892e-13
R348	4.560638e-01
R350	2.732122e+01
R351	3.291751e+01
R352	1.536934e+01
R353	9.801406e-27
R354	4.024450e-18
R355	4.856410e-13
R356	3.711803e-17
R357	2.322086e-17
R358	1.611805e-17
R359	4.387934e-21
R360	6.518734e-20
R361	9.791514e-20
R362	1.374357e-15
R363	9.448475e-14
R364	5.238492e-12
R365	1.251675e-12
R366	1.585823e-19
R367	2.498498e-47
R368	3.192990e-16
R369	4.712900e-16
R370	2.930899e-17
R371	1.125911e-13
R372	8.253776e-15
R373	6.036517e-15
R374	1.967575e-14
R375	1.559663e-15
R376	2.192665e-47
R377	1.178974e-36
R378	5.984218e-31
R379	7.013412e-34
R380	8.149263e-31
R381	1.289136e-24
R382	1.249727e-30
R383	1.041440e-30
R384	2.710854e-42
R385	4.024940e-32
R387	2.282898e-61
R389	2.135710e-04
R390	1.181050e-02
R391	1.473484e+00
R392	5.394159e-03
R393	3.083171e-03
R394	3.083171e-03
R395	3.455569e-03
R396	1.198299e-01
R397	8.193099e-05
R398	2.908986e-01
R399	1.711857e-02
R400	2.126349e-01
R401	1.242620e-04
R402	1.006259e-03
R403	8.343967e-04
R404	1.006259e-04
R405	1.675067e-04
R406	8.589373e-06
R407	1.365771e-07
R408	2.988996e-02
R409	4.711476e-01
R411	7.852460e+00
R412	4.776913e+00
R413	1.455151e-01
R414	3.931634e-01
R415	1.556687e+03
R416	6.360179e+02
R417	2.876838e-14
R418	1.711924e-27
R419	1.468639e-02
R420	5.245137e-03
R421	2.545515e-23
R422	5.224960e-14
R423	1.613809e-04
R424	9.015777e-04
R425	3.829286e-21
R426	3.136663e-02
R427	3.136663e-02
R428	2.485709e-01
R429	1.316014e-28
R430	6.946468e-01
R431	4.312379e+00
R432	2.219346e-06
R433	3.274456e+02
R434	9.523626e-13
R435	2.207399e-03
R436	9.460283e-04
R437	4.083354e-12
R438	4.365780e-09
R439	1.182805e+04
R440	1.389927e-36
R441	9.429798e-08
R442	8.166811e-16
R443	9.383545e-29
R444	2.403548e-20
R445	2.534553e+00
R446	2.113515e-04
R447	3.898189e-01
R448	2.527190e+00
R449	8.584184e+02
R450	3.233376e+03
R451	2.146046e+02
R452	8.456104e-01
R453	3.946182e+00
R454	1.360380e+05
R455	2.186943e+09
R456	1.482324e+04
R457	9.660526e-01
R458	7.341798e+07
R459	5.708548e+04
R460	8.938870e+04
R461	5.987006e+05
R462	1.291541e-02
R463	2.992332e-17
R464	1.108239e-03
R465	1.110809e-17
R466	1.110809e-17
R467	3.341895e-08
R468	7.709188e-22
R469	3.960639e-21
R470	4.073770e-13
R471	1.025896e-19
R472	3.018833e-35
R473	6.028065e-10
R474	4.179885e-06
R475	3.025972e-11
R477	8.734815e-03
R478	8.734815e-03
R479	2.012033e-12
R480	1.423989e-11
R481	2.299072e+02
R482	2.308714e-01
R483	3.036142e+00
R485	2.751283e-02
R486	2.751283e-02
R487	3.374561e-03
R488	7.346851e-05
R489	8.297733e-01
R490	7.011065e-03
R491	3.259206e+00
R492	4.621598e+01
R493	1.918180e+03
R494	1.392047e-09
R495	4.476402e-11
R496	4.078324e+01
R498	3.958857e-24
R499	1.521059e-01
R500	1.512516e-12
R501	4.103585e+02
R502	8.417319e+01
R503	2.685020e-15
R504	5.079297e+00
R505	5.757767e+01
R506	9.138554e+01
R507	1.116119e-01
R509	3.134030e-03
R511	8.274160e+06
R512	1.600437e+08
R513	3.191704e-07
R515	1.326033e-07
R516	1.795177e-03
R517	2.953315e-02
R519	3.602984e+04
R520	2.530496e-07
R521	3.952599e-29
R522	4.587862e-06
R523	3.709644e+06
R524	4.318394e-27
R525	2.437147e-17
R526	2.785463e+00
R527	1.837127e+04
R528	7.365282e+02
R533	1.636645e+09
R534	7.417403e-37
R535	1.075554e-11
R536	1.138830e+02
R537	1.631556e-12
R538	1.466281e-04
R540	9.427271e-11
R541	4.315279e-14
R542	7.316293e-23
R543	2.696469e+07
R544	3.553138e-06
R545	5.152246e-17
R546	7.632842e-04
R547	1.190382e+00
R548	4.346894e+00
R549	1.923996e+00
R551	3.470081e-10
R552	1.599165e-43
R553	6.646920e-19
R554	1.367030e-03
R555	4.035167e-40
R556	9.901252e-37
R557	1.508484e-07
R558	1.063009e-09
R559	2.825220e+05
R560	2.338297e+08
R561	5.028337e+09
R562	9.219118e-16
R563	9.659418e-03
R564	1.341332e-03
R565	4.272625e-02
R566	8.339074e-10
R567	2.303153e-02
R568	4.716961e-32
R569	1.853164e+09
R570	9.015739e-05
R571	9.015739e-05
R572	1.452236e+07
R573	2.325812e-03
R574	2.533716e-02
R575	1.367455e+07
R576	1.215515e+06
R577	1.719099e+06
R578	6.800830e-05
R579	1.146810e+07
R596	1.951621e+07
R597	1.431189e+08
R598	2.422909e+01
R599	1.191263e+02
R608	1.344912e-26
R611	4.690572e-42
R617	5.159150e-06
R618	3.404878e-07
R639	4.023275e+10
R640	9.836815e-12
R641	2.153469e+10
R642	7.693199e+09
R643	2.024526e+09
R644	1.120537e+05
R645	2.224333e-01
M2	5.815640e+06
M3	1.920602e+05
M4	1.317604e-02
M5	4.874724e+02
M6	2.316387e+05
M7	1.972197e+05
M9	1.714530e+05
M10	6.632432e+06
M11	5.849452e+01
M12	6.371663e+10
M13	4.675473e+08
M14	1.833388e+09
M15	4.117334e+00
M16	1.123618e-01
M17	7.742398e-01
M18	1.251399e+02
M19	6.476281e-17
M20	2.554001e-27
M21	1.862797e-09
M22	1.140659e-06
M23	6.587681e-01
M24	5.594759e+02
M25	9.565549e-08
M26	1.398361e-08
M27	7.750283e-05
M28	1.621339e-19
M29	2.759344e-46
M31	9.896843e-02
M32	2.043523e-06
M33	4.228973e-21
M34	1.635513e-09
M35	3.241178e-09
M36	9.237653e-02
M37	1.141702e+00
M38	2.094592e+00
M39	4.168153e+03
M40	1.183080e+03
M41	5.500743e-23
M42	5.633128e-04
M43	1.069032e-18
M44	2.345325e-04
M45	2.198514e+09
M46	3.816658e-05
M47	1.593492e-01
M48	2.489117e+05
M49	7.958552e-07
M50	2.657639e-02
M51	1.308227e+06
M52	1.157653e+07
M53	1.202622e+04
M54	1.437637e+06
M55	1.817319e-01
M56	1.398225e+03
M57	1.714567e+06
M58	3.844881e+01
M73	6.391609e+06
M85	3.327695e+10
M86	2.693449e+08
P1	4.073363e+01
P2	1.718129e+02
P3	1.707865e-11
P4	6.838799e-12
P5	1.741161e-05
P6	9.750512e+08
P7	2.174617e-05
P8	5.515083e-11
P9	1.007168e-22
P10	7.737573e-22
P11	7.294005e+08
P12	8.874628e-47
P13	1.865001e-46
P14	5.594155e-04
P15	3.632774e-19
P16	4.105296e-19
P17	2.947392e-19
P18	1.993218e-27
P19	5.162784e-28
P20	1.163259e+09
P21	1.944348e+09
P22	1.147777e+03
P23	1.574270e+02
P24	1.849313e-13
P25	7.457946e-05
P26	1.620863e-19
P27	3.302591e-07
P28	7.076981e-08
P29	7.076981e-08
P30	4.931496e-04
P31	2.504243e-04
P32	1.257811e+08
P33	1.625950e+08
P34	1.840700e+07
P35	3.057533e+08
P36	5.695453e+06
P37	1.531861e+09
P38	0.000000e+00
P39	0.000000e+00
P40	2.766945e+05
P41	4.281068e+08
P42	4.822497e+10
P43	9.612098e+09
P44	1.497022e+03
P45	4.083461e+08
P46	1.849652e+04
P47	8.191199e+08
P48	1.628890e+07
P49	1.959970e+05
P50	1.055232e-02
P51	1.192497e+05
P52	3.835168e+09
P53	1.156418e+07
P54	1.449604e+06
P56	6.801652e+06
P57	1.403855e+02
P58	5.653992e+04
P59	7.067490e+04
P60	1.413498e+04
P61	1.202717e+00
P62	2.557236e+04
P63	5.662453e+04
P64	4.931814e+04
P65	4.018515e+04
P66	1.095958e+04
P67	7.693198e+09
P68	7.373253e+08
P69	2.675177e+08
P70	9.313796e+02
P71	5.759603e+07
T1	9.022205e-25
T2	6.130969e-27
T3	3.459365e-29
T4	7.475429e-13
T5	1.634426e-64
T6	1.075722e-25
T7	2.855516e-50
T8	8.360673e-14
T9	8.414862e-33
T10	1.200278e-42
T11	2.816608e-42
T12	4.535301e-30
T13	1.417545e-32
T14	1.994052e-24
T15	1.598249e-48
T16	5.736307e-33
T17	1.123747e+00
T18	6.938292e-07
T19	2.686244e-26
T20	6.973164e-25
T21	2.502464e-39
T22	1.482278e-40
T23	3.073625e-35
T24	2.204572e-39
T25	1.437776e-16
T26	2.963496e-34
T27	1.467311e-08
T28	2.901599e-43
T29	1.444160e-43
T30	3.409704e-30
T31	6.451956e-06
T32	2.317909e+05
T33	2.545237e-36
T34	1.120054e-40
T35	4.894959e-41
T36	1.462025e-06
T37	1.206377e-08
T38	2.612246e-05
T40	1.290380e-34
T41	2.782322e-51
T42	2.381408e-20
T43	2.489010e+05
T44	3.374625e-01
T46	4.806942e+10
T47	1.005369e+01
