# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R316	3.842566e-03
R317	5.332974e-01
R319	3.925590e+01
R320	2.254224e+08
R321	8.233409e-01
R322	1.199747e+08
R323	1.863061e+07
R324	1.333052e+07
R325	1.686273e-04
R326	1.790800e+06
R327	4.406101e+06
R328	4.175867e-01
R329	2.985404e+07
R330	1.244632e+00
R331	2.901386e+04
R332	5.580385e+04
R333	1.740064e+01
R334	6.789375e-01
R335	3.690998e-02
R336	4.072890e+02
R337	1.316056e+02
R338	2.542635e+02
R339	7.647023e+02
R340	4.779389e+03
R341	2.619106e+03
R342	2.676458e+03
R346	3.152449e+01
R347	2.994688e-07
R348	2.540708e+03
R350	3.398541e+01
R351	3.608839e+01
R352	2.063388e+01
R353	2.762712e-09
R354	2.177729e-05
R355	1.245224e-04
R356	1.063831e-07
R357	3.686611e-09
R358	3.229122e-08
R359	1.116372e-10
R360	1.387737e-07
R361	2.084461e-07
R362	3.475718e-06
R363	1.528078e-07
R364	1.087881e-03
R365	2.599361e-04
R366	3.950733e-11
R367	4.324132e-36
R368	3.534021e-06
R369	5.216267e-06
R370	9.392259e-08
R371	1.083313e-02
R372	6.021383e-04
R373	4.403825e-04
R374	6.004737e-08
R375	4.759851e-09
R376	1.677423e-24
R377	4.098900e-18
R378	7.345033e-18
R379	1.070432e-21
R380	3.691201e-18
R381	1.361999e-12
R382	1.487683e-17
R383	1.239736e-17
R384	1.848077e-26
R385	3.763084e-19
R387	3.082359e-35
R389	7.182165e+01
R390	3.814447e+01
R391	2.657837e+04
R392	3.105192e-01
R393	1.318708e+01
R394	1.318708e+01
R395	1.133293e+01
R396	1.574466e+03
R397	7.457343e-02
R398	3.478591e+03
R399	2.249238e+02
R400	1.737843e+03
R401	7.189530e+00
R402	4.136146e+01
R403	2.573649e+01
R404	4.136146e+00
R405	5.166649e+00
R406	1.920342e-02
R407	1.475216e-03
R408	1.114627e+04
R409	6.509525e+01
R411	1.084921e+03
R412	6.599935e+02
R413	1.158344e+05
R414	3.168002e+03
R415	1.124533e+07
R416	4.594522e+06
R417	5.199760e-08
R418	3.214265e-14
R419	3.004701e+03
R420	1.073107e+03
R421	1.658329e-16
R422	2.445655e-06
R423	1.361753e+00
R424	1.544702e+02
R425	3.686757e-15
R426	2.697713e+04
R427	2.697713e+04
R428	2.596480e+03
R429	3.923577e-30
R430	1.100267e+07
R431	2.719374e+03
R432	1.129558e-05
R433	1.092418e+06
R434	1.452543e-04
R435	9.163658e-01
R436	3.927282e-01
R437	1.778331e-12
R438	3.830919e-09
R439	2.588058e+06
R440	2.909923e-18
R441	9.267106e+04
R442	5.321227e+00
R443	6.222372e-09
R444	1.780636e-04
R445	6.421244e+08
R446	8.397141e+02
R447	2.864907e-01
R448	5.391638e+00
R449	1.206952e+03
R450	4.546185e+03
R451	3.017379e+02
R452	8.444977e+00
R453	3.940989e+01
R454	2.538856e+05
R455	2.050938e+09
R456	2.046785e+04
R457	9.090168e-04
R458	8.119727e+07
R459	7.108691e+01
R460	1.113132e+02
R461	2.021182e+04
R462	2.845269e+01
R463	1.582734e-07
R464	3.558981e+03
R465	1.560792e-06
R466	1.560792e-06
R467	1.914705e-05
R468	1.385245e-14
R469	5.933391e-12
R470	6.029696e-05
R471	5.346530e-10
R472	8.999404e-24
R473	1.040539e-05
R474	5.580022e-03
R475	5.341571e-04
R477	6.227401e-01
R478	6.227401e-01
R479	4.499043e-15
R480	8.509261e-14
R481	2.348818e+04
R482	3.572762e+01
R483	3.333378e+03
R485	1.004989e+00
R486	1.004989e+00
R487	5.952102e-01
R488	3.441875e-04
R489	1.463336e+03
R490	1.139347e+00
R491	4.181362e+02
R492	4.433016e+01
R493	2.379345e+06
R494	1.797362e-08
R495	4.622555e-13
R496	5.286136e+02
R498	1.561698e-13
R499	1.785567e+01
R500	7.367694e-07
R501	7.194827e+03
R502	1.065221e+05
R503	6.352955e-09
R504	7.850265e+02
R505	2.757359e+03
R506	1.681604e+05
R507	4.637513e+01
R509	9.649113e-05
R511	1.290394e+09
R512	2.052858e+09
R513	2.757231e-01
R515	1.322555e-09
R516	2.332892e-04
R517	4.913917e-04
R519	2.945023e+04
R520	2.369278e+00
R521	4.309292e-12
R522	6.400194e+02
R523	8.220697e+06
R524	3.367049e-11
R525	3.033160e-05
R526	6.756362e+04
R527	3.675149e+04
R528	1.231333e+06
R533	6.875177e+08
R534	1.455896e-34
R535	1.307524e-03
R536	1.823912e+06
R537	2.403925e-04
R538	2.646015e-02
R540	4.070869e-06
R541	8.834506e-04
R542	2.512190e-15
R543	1.648376e+07
R544	1.286536e+00
R545	1.180578e-06
R546	2.498516e-01
R547	1.526367e+03
R548	1.579151e+02
R549	6.234582e+03
R551	3.979643e-08
R552	3.024463e-34
R553	5.400727e-15
R554	6.397897e+00
R555	2.558265e-40
R556	1.495705e-39
R557	4.420900e-02
R558	5.673757e-02
R559	2.067269e+05
R560	1.222152e+08
R561	4.077228e+09
R562	2.244065e-07
R563	4.268762e-02
R564	5.803104e-03
R565	1.563941e+02
R566	4.479364e-03
R567	1.111823e+02
R568	3.686588e-23
R569	8.014534e+08
R570	1.040985e+02
R571	1.040985e+02
R572	9.429465e+06
R573	3.247019e+01
R574	5.306418e+00
R575	8.921739e+06
R576	7.930434e+05
R577	2.647531e+06
R578	5.617059e+01
R579	5.215398e+06
R596	2.008881e+07
R597	1.473179e+08
R598	6.916065e+01
R599	3.400399e+02
R608	1.383836e-34
R611	3.325727e-51
R617	8.078470e-04
R618	1.945948e-04
R639	2.216771e+10
R640	2.404856e-03
R641	1.231840e+10
R642	7.540406e+09
R643	1.984317e+09
R644	1.350626e+06
R645	7.621996e+04
M2	4.704986e+05
M3	2.383190e+05
M4	8.571091e+03
M5	1.945656e+03
M6	4.192484e+03
M7	1.936083e+05
M9	7.967042e+04
M10	1.115048e+07
M11	5.214263e+03
M12	1.124809e+10
M13	3.395857e+07
M14	5.205385e+08
M15	4.490103e+04
M16	8.753350e+05
M17	8.648372e+06
M18	1.849128e+05
M19	4.491816e-07
M20	6.899884e-12
M21	1.547217e-03
M22	5.960140e-05
M23	2.121761e+03
M24	1.183752e+05
M25	2.266449e-01
M26	1.519023e+01
M27	5.455349e-02
M28	2.752176e-10
M29	1.114951e-22
M31	7.243356e+03
M32	1.221387e+03
M33	6.603518e-06
M34	3.642346e+03
M35	2.030090e+03
M36	7.295673e-03
M37	1.476253e+02
M38	1.759775e+03
M39	1.090346e+05
M40	1.142391e+05
M41	1.289681e-08
M42	1.332831e+02
M43	5.476217e-07
M44	2.941526e+00
M45	4.065586e+09
M46	1.088028e+02
M47	1.852871e+02
M48	1.727344e+04
M49	3.737388e-01
M50	1.112998e+02
M51	1.472607e+06
M52	2.010404e+07
M53	2.877955e+04
M54	1.162132e+07
M55	6.194473e+01
M56	2.432399e+02
M57	1.624640e+07
M58	7.799535e+01
M73	2.977942e+07
M85	2.382744e+10
M86	2.765555e+08
P1	5.934988e+07
P2	5.529636e+08
P3	1.966642e+00
P4	1.026622e+00
P5	3.048623e+01
P6	1.979910e+09
P7	6.221868e-01
P8	6.873686e-01
P9	1.281005e-08
P10	9.725486e-08
P11	2.556473e+06
P12	3.101202e-23
P13	8.048310e-23
P14	1.288101e+02
P15	1.877964e-07
P16	2.019433e-07
P17	1.449849e-07
P18	2.059613e-12
P19	5.309744e-13
P20	1.264166e+09
P21	2.134717e+09
P22	1.932401e+02
P23	3.158210e+01
P24	2.744885e-09
P25	5.186171e-02
P26	2.750287e-10
P27	3.938893e-08
P28	8.440485e-09
P29	8.440485e-09
P30	1.222202e+01
P31	1.823504e-01
P32	1.294753e+08
P33	1.673706e+08
P34	1.894761e+07
P35	1.395760e+07
P36	5.626255e+07
P37	1.576920e+09
P38	0.000000e+00
P39	0.000000e+00
P40	1.755833e+06
P41	2.071848e+08
P42	2.591424e+10
P43	1.216585e+08
P44	3.143416e+06
P45	4.993895e+08
P46	1.221588e+06
