X3	2.441332e+17	1.832668e-09
X53	1.198907e+26	9.000000e-01
X1	7.309989e+14	5.487489e-12
X56	7.899517e+05	5.930038e-21
X54	2.781384e+15	2.087939e-11
X2	4.901278e+06	3.679310e-20
X4	2.122361e+12	1.593222e-14
X5	6.092670e+08	4.573668e-18
X7	2.717228e+23	2.039778e-03
X6	1.782962e+07	1.338440e-19
X52	1.338989e+22	1.005157e-04
X20	1.189482e+19	8.929243e-08
X22	4.511656e+15	3.386826e-11
X61	9.794867e+12	7.352847e-14
X19	4.854817e+08	3.644432e-18
X58	2.335297e+05	1.753069e-21
X59	1.976095e+05	1.483422e-21
X80	2.706378e+02	2.031634e-24
X60	1.109344e+10	8.327667e-17
X21	1.636214e+19	1.228279e-07
X62	8.732651e+09	6.555459e-17
X24	2.942216e+15	2.208673e-11
X63	1.289277e+11	9.678393e-16
X23	1.916386e-01	1.438600e-27
X71	1.010413e-02	7.585004e-29
X25	5.441686e-03	4.084985e-29
X26	2.250469e-32	1.689390e-58
X64	4.982094e+01	3.739976e-25
X27	6.907736e+09	5.185525e-17
X28	4.242744e+03	3.184959e-23
X29	6.014862e+08	4.515259e-18
X30	1.049908e+07	7.881490e-20
X31	6.330181e+15	4.751963e-11
X32	3.017817e+03	2.265426e-23
X33	7.737660e+09	5.808535e-17
X34	1.305300e+06	9.798673e-21
X35	2.673488e+10	2.006943e-16
X36	1.635073e+04	1.227423e-22
X40	6.781711e+13	5.090920e-13
X41	9.731683e+12	7.305415e-14
X76	2.057148e+11	1.544267e-15
X77	8.429671e+11	6.328016e-15
X42	2.101397e+14	1.577485e-12
X43	4.784435e+15	3.591597e-11
X74	5.526215e+01	4.148439e-25
X75	3.589700e+02	2.694729e-24
X44	5.037054e+09	3.781234e-17
X45	2.002972e+15	1.503598e-11
X46	1.041421e+13	7.817775e-14
X47	5.970974e+12	4.482312e-14
X48	4.523588e+14	3.395784e-12
X68	3.485699e+06	2.616657e-20
X73	2.712454e+12	2.036195e-14
X78	1.891491e+13	1.419911e-13
X79	5.173398e+14	3.883585e-12
X111	5.810343e+14	4.361730e-12
X8	5.368932e+09	4.030370e-17
X9	6.573216e+19	4.934405e-07
X10	1.061902e+13	7.971521e-14
X57	2.272060e+12	1.705599e-14
X11	1.397047e+17	1.048740e-09
X12	4.048608e+13	3.039224e-13
X13	4.291793e+09	3.221779e-17
X14	4.750832e+05	3.566372e-21
X15	1.771812e+03	1.330070e-23
X16	4.716450e+12	3.540562e-14
X17	1.732795e+08	1.300781e-18
X18	1.142212e+06	8.574398e-21
X70	2.134463e+05	1.602307e-21
X37	2.382916e+15	1.788816e-11
X38	4.083995e+06	3.065789e-20
X39	7.990766e+01	5.998537e-25
X72	1.062629e+07	7.976984e-20
X65	2.018431e+09	1.515203e-17
X66	4.831916e+07	3.627240e-19
X109	3.627080e+14	2.722789e-12
X67	7.627383e-02	5.725751e-28
X110	1.798987e+04	1.350470e-22
X106	4.180828e+16	3.138479e-10
X107	3.408774e+13	2.558911e-13
X108	5.463829e+16	4.101607e-10
X49	2.308804e+02	1.733181e-24
X50	1.381600e-03	1.037145e-29
X51	0.000000e+00	0.000000e+00
X69	0.000000e+00	0.000000e+00
