# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R1	4.006728e-56
R2	2.336087e-44
R3	1.709336e-12
R4	1.174392e-03
R5	3.327102e-42
R6	2.023009e+05
R7	6.252587e+00
R8	8.707519e+05
R9	4.897673e-02
R10	1.271873e-34
R11	5.343807e-02
R12	5.873624e+05
R13	2.961547e-10
R14	8.976088e+04
R15	4.312001e-25
R16	4.976284e+06
R17	4.876236e+03
R18	2.333907e-01
R19	2.394485e-19
R20	1.379495e+02
R21	3.481223e+03
R22	1.898849e+03
R23	1.570954e-06
R24	1.112464e-08
R25	1.406564e-06
R26	1.859972e-02
R27	7.828154e-08
R28	2.121214e-08
R29	4.836118e+01
R30	3.931790e+07
R31	3.161513e+03
R32	1.197446e+07
R33	1.040951e+08
R34	1.693926e+01
R35	5.559227e+05
R36	1.199625e+01
R37	1.582723e+01
R38	8.268383e+00
R39	2.692695e-04
R40	3.065908e+06
R41	2.389411e-45
R44	4.959186e+05
R45	1.301135e+00
R46	6.505675e-02
R47	3.283331e-11
R48	1.291478e-04
R49	3.524323e-09
R50	8.446708e+01
R51	3.829546e-04
R52	1.093271e-07
R53	2.230431e-03
R54	9.078620e-23
R55	1.957349e+00
R56	8.084535e-02
R57	8.067699e-13
R59	4.995419e+05
R60	2.841727e+05
R61	2.902311e+04
R62	1.598760e-06
R63	2.161623e-02
R64	8.130460e+03
R65	1.668273e-01
R66	2.238710e+00
R67	3.961508e+04
R68	3.572132e-06
R69	2.875345e-04
R70	7.209373e+05
R71	4.806248e+06
R72	1.500444e-06
R73	4.388602e+00
R74	2.566017e-07
R75	2.711708e+02
R76	1.999255e+01
R77	1.999255e+02
R78	2.020487e+00
R79	1.314308e+02
R80	9.799068e-14
R81	1.268979e+02
R82	1.191114e-11
R83	9.894230e-12
R84	8.110569e-07
R85	8.246067e-24
R86	5.031499e-24
R87	1.002854e-24
R88	0.000000e+00
R89	0.000000e+00
R90	0.000000e+00
R91	1.016864e+06
R92	1.205072e+08
R93	4.625102e+01
R94	3.750875e-03
R95	1.047969e-06
R96	2.331260e+01
R97	2.107347e-21
R98	1.303146e-02
R99	2.323187e+01
R100	6.183887e-06
R101	6.917009e+01
R102	0.000000e+00
R103	0.000000e+00
R104	0.000000e+00
R105	0.000000e+00
R106	0.000000e+00
R107	0.000000e+00
R108	1.432167e+01
R109	1.387428e+05
R110	9.637303e+04
R111	1.500910e+06
R112	3.048147e+05
R113	1.537482e+06
R114	3.074964e+06
R115	9.793162e-05
R116	5.561906e-05
R117	9.861767e-04
R118	1.122902e+05
R119	5.976596e-09
R120	5.141416e-77
R121	2.682787e-53
R122	2.815208e-33
R123	4.583945e+06
R124	6.045365e-31
R125	6.280810e+00
R126	6.511306e-17
R127	4.338129e+09
R128	4.812905e-28
R129	1.350990e-13
R130	1.142937e+07
R131	4.314002e+08
R132	4.778729e+07
R133	2.692801e+07
R134	1.468800e+07
R135	3.368332e-04
R136	7.946357e+01
R137	2.571330e+05
R138	4.182284e+05
R140	2.847099e+08
R141	1.423550e+07
R142	1.864783e+06
R143	8.097078e+04
R145	2.971152e+09
R146	6.374772e+09
R147	1.117167e+07
R148	7.607216e+07
R149	1.306257e-06
R150	9.729818e-01
R152	1.114430e+08
R153	6.309948e+07
R154	3.943718e+06
R155	6.358376e-03
R156	1.201817e-25
R157	4.919126e+05
R159	2.207444e+06
R160	1.008599e-07
R161	1.216987e-07
R162	1.476240e+09
R163	1.163715e-01
R164	5.086530e-10
R165	2.517681e-06
R166	2.409537e+00
R167	4.717292e-01
R168	4.619465e-02
R169	1.016112e-10
R171	1.595951e-01
R172	2.014807e+06
R173	2.940602e-10
R174	5.067663e-19
R175	6.378770e-06
R176	1.410700e-08
R177	4.891055e-06
R178	8.250273e-14
R179	2.018591e-23
R180	3.560644e+04
R181	7.912541e+02
R182	3.412284e+03
R183	2.652186e-19
R186	3.639366e+00
R187	3.704137e-51
R188	2.391735e-36
R189	4.998979e+03
R190	9.838919e-02
R192	3.475386e-01
R193	1.709336e-12
R195	4.818494e+09
R196	5.618242e-27
R197	1.293907e+02
R198	6.024075e+04
R199	2.105298e+07
R200	2.526358e+07
R201	9.696899e-04
R202	3.122359e+09
R203	6.830513e+05
R204	1.495029e+01
R205	5.117675e-21
R206	5.970348e+05
R207	1.966298e+02
R209	1.131943e-13
R212	2.408929e+09
R213	2.177415e-14
R214	2.525762e-41
R215	3.457972e+02
R216	1.777759e-03
R217	6.521732e-06
R218	5.678890e+07
R219	1.185929e-08
R220	2.662276e-05
R221	6.307243e-05
R222	2.951523e-14
R223	7.473007e-07
R224	3.677479e-01
R225	2.185907e-08
R226	3.700554e-28
R227	1.458646e-08
R228	1.230954e-02
R229	1.467025e+02
R230	5.931520e+07
R231	3.493965e+05
R232	1.044773e+05
R233	9.885596e-14
R235	5.721225e+03
R236	1.359897e+05
R237	1.200481e+05
R238	4.349012e-08
R239	1.238421e-04
R242	2.570382e-13
R243	2.026787e-11
R244	1.379565e-19
R245	6.727170e-12
R246	6.705296e-01
R247	9.635946e+00
R248	8.986947e-11
R250	2.845033e-02
R251	2.845033e-02
R252	1.228004e-08
R254	9.711454e-14
R255	1.286099e-12
R257	1.466315e+00
R258	6.128643e+03
R259	1.293600e+04
R260	4.516469e-06
R261	1.043480e-08
R263	2.906933e+03
R264	6.481111e+07
R265	6.818191e+03
R266	1.626799e+08
R267	7.338333e+08
R268	1.453571e-03
R269	3.117366e-02
R270	2.758462e+03
R271	4.148103e-03
R272	1.386150e+09
R273	7.363588e+02
R274	1.346840e+02
R275	6.709174e-03
R276	8.622948e-41
R277	9.965101e+00
R278	1.928729e+00
R279	6.992821e+01
R281	4.306176e-04
R282	3.742610e+02
R283	1.313458e-05
