# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R315	8.173147e-01
R316	1.256143e-06
R317	1.375730e+04
R319	3.162914e+02
R320	1.040249e+08
R321	1.238794e+05
R322	9.427313e+07
R323	1.463947e+07
R324	1.047479e+07
R325	1.285717e-02
R326	6.534164e-01
R327	2.744761e-03
R328	6.255864e-02
R329	2.133277e-04
R330	1.611878e-04
R331	4.867995e+00
R332	9.362865e+00
R333	9.294004e-06
R334	1.676794e-02
R335	2.628720e+00
R336	1.350953e-03
R337	4.365280e-04
R338	8.289044e-03
R339	2.492945e-02
R340	1.558091e-01
R341	8.538339e-02
R342	8.725310e-02
R346	7.136604e+03
R347	9.205290e-09
R348	4.482896e+07
R350	1.076100e-03
R351	1.142821e-03
R352	6.533083e-04
R353	2.382917e+02
R354	1.626813e-02
R355	2.303944e-08
R356	7.736546e-13
R357	8.410039e-07
R358	1.054056e-01
R359	2.901910e-03
R360	6.236261e-12
R361	9.367223e-12
R362	1.029158e-09
R363	4.766666e-06
R364	6.135277e+00
R365	1.465951e+00
R366	4.154688e-03
R367	4.357769e-27
R368	5.729608e+04
R369	8.456985e+04
R370	1.530582e+03
R371	1.411504e-09
R372	7.845568e-11
R373	5.737968e-11
R374	7.205549e-07
R375	5.711715e-08
R376	5.271720e-08
R377	8.081593e-10
R378	4.942102e-06
R379	1.672143e-08
R380	9.230372e-07
R381	2.041078e-03
R382	2.652961e-04
R383	2.210801e-04
R384	4.903040e-17
R385	7.148915e-06
R387	1.321340e-13
R389	1.744184e-02
R390	1.361267e+00
R391	9.485058e+02
R392	4.000236e-05
R393	1.891553e+01
R394	1.891553e+01
R395	1.625593e+01
R396	8.232891e+02
R397	3.899162e-02
R398	1.818956e+03
R399	1.176127e+02
R400	9.087172e+02
R401	3.281995e+02
R402	1.747555e+02
R403	1.087865e+02
R404	1.747555e+01
R405	2.183910e+01
R406	7.594862e+01
R407	2.497709e-05
R408	1.887190e+02
R409	1.635623e+01
R411	2.726038e+02
R412	1.658340e+02
R413	2.461007e+06
R414	3.598565e+03
R415	1.277370e+07
R416	5.218967e+06
R417	1.079093e-02
R418	6.786135e-04
R419	7.650575e+04
R420	2.732348e+04
R421	7.229530e-18
R422	7.131164e-06
R423	7.093802e+01
R424	1.145110e+04
R425	1.640461e-12
R426	1.909186e+08
R427	1.909186e+08
R428	1.053181e+06
R429	9.882041e-35
R430	2.771166e+02
R431	2.982520e-02
R432	1.240091e-10
R433	3.445052e+09
R434	1.044358e-03
R435	1.177227e-01
R436	5.045260e-02
R437	9.461943e-16
R438	9.559555e-12
R439	1.138143e+08
R440	2.882614e-07
R441	8.219414e+05
R442	4.911525e+05
R443	5.024221e+01
R444	1.666909e-03
R445	1.863443e+09
R446	1.224654e+05
R447	9.944461e-04
R448	1.309793e+00
R449	1.383820e+02
R450	5.212389e+02
R451	3.459550e+01
R452	3.985775e+00
R453	1.860028e+01
R454	9.315021e+05
R455	8.744267e+09
R456	1.464173e+05
R457	1.944423e-09
R458	3.462280e+08
R459	1.325644e-02
R460	2.075792e-02
R461	4.267239e-03
R462	6.673355e-02
R463	3.428731e-07
R464	8.092308e+03
R465	1.654918e-06
R466	1.654918e-06
R467	4.141235e-10
R468	9.352034e-15
R469	6.223916e-09
R470	9.588507e-04
R471	2.641550e-05
R472	2.826682e-22
R473	7.307538e-10
R474	1.447742e-09
R475	6.882527e-08
R477	4.372237e-04
R478	4.372237e-04
R479	2.190885e-17
R480	4.143730e-16
R481	1.143797e+02
R482	1.739818e-01
R483	3.625271e+01
R485	4.087748e-03
R486	4.087748e-03
R487	1.753664e-03
R488	2.666514e-06
R489	4.189630e+01
R490	1.952933e-02
R491	2.980427e+02
R492	1.679329e-01
R493	6.207779e+05
R494	1.587095e-09
R495	1.140023e-14
R496	1.300851e+01
R498	3.923928e-06
R499	1.050787e+00
R500	8.369035e-08
R501	2.137561e+03
R502	1.400049e+05
R503	1.928300e-11
R504	5.751507e+03
R505	3.025379e+03
R506	1.636380e+01
R507	4.512794e-03
R509	1.411876e-09
R511	1.553674e+09
R512	2.662442e+10
R513	2.733118e+00
R515	1.493525e-11
R516	1.354145e-07
R517	3.985653e-09
R519	4.312739e+01
R520	1.108652e-01
R521	5.184389e-04
R522	9.606920e+03
R523	1.121457e+04
R524	6.035569e-04
R525	7.523014e-05
R526	6.486169e+05
R527	6.788195e+04
R528	1.493691e+05
R533	1.956885e+09
R534	4.417022e-28
R535	6.020051e+04
R536	9.932550e+05
R537	2.136751e+01
R538	1.351706e-08
R540	3.337724e-14
R541	4.385797e+04
R542	4.889600e-25
R543	5.886213e+08
R544	6.109857e-02
R545	2.068059e-02
R546	8.434694e-06
R547	1.174572e+00
R548	1.075079e-01
R549	2.535770e-02
R551	1.062505e-07
R552	1.231079e-23
R553	4.178858e-13
R554	1.109822e+02
R555	1.023132e-37
R556	8.336970e-39
R557	7.603275e+00
R558	5.071906e-01
R559	2.250270e+07
R560	8.780187e+08
R561	2.685110e+08
R562	2.002627e-08
R563	2.498683e-02
R564	3.485945e-03
R565	8.745101e+04
R566	1.122612e-03
R567	1.125961e+03
R568	6.046873e-13
R569	1.916514e+09
R570	1.254725e+03
R571	1.254725e+03
R572	5.916315e+08
R573	3.818765e+05
R574	3.472369e+01
R575	5.740654e+08
R576	5.102804e+07
R577	8.131044e+06
R578	1.942328e+06
R579	2.558655e+08
R596	2.696994e+06
R597	1.977796e+07
R598	1.970579e-01
R599	9.688679e-01
R608	2.933742e-37
R611	2.169635e-55
R617	9.615150e-11
R618	8.096298e-05
R639	3.751306e+08
R640	1.356210e+01
R641	2.093455e+08
R642	3.118827e+08
R643	8.207441e+07
R644	4.847885e-01
R645	2.473936e+04
M2	1.632437e+05
M3	5.418035e+04
M4	5.129513e+02
M5	3.049151e+01
M6	1.117147e+02
M7	7.043069e+03
M9	1.399828e+04
M10	1.205460e+09
M11	5.860578e+00
M12	1.958095e+10
M13	2.023678e+10
M14	2.118116e+08
M15	8.975932e+06
M16	3.518671e+08
M17	3.675508e+08
M18	1.831803e+07
M19	9.802953e-02
M20	1.028402e+00
M21	2.202264e+00
M22	9.292873e-09
M23	1.194025e+03
M24	5.942953e+05
M25	1.343101e-05
M26	9.194212e-01
M27	2.959443e+04
M28	3.024503e+01
M29	4.877695e-03
M31	1.750354e+06
M32	8.746317e+06
M33	1.170952e+04
M34	1.413177e+06
M35	1.568857e+04
M36	3.266749e-01
M37	2.180285e+00
M38	4.246033e+01
M39	1.028313e+06
M40	1.327008e-03
M41	1.142710e-04
M42	7.878651e+02
M43	6.189270e-01
M44	6.940123e+01
M45	8.446981e+09
M46	1.000144e+07
M47	1.391918e+03
M48	1.547548e+08
M49	8.476247e+04
M50	1.280625e+03
M51	3.049254e+08
M52	1.144944e+09
M53	2.618868e+07
M54	2.547689e+09
M55	3.506564e+07
M56	1.788361e+02
M57	3.645604e+07
M58	2.563547e+03
M73	4.980155e+06
M85	6.854291e+08
M86	3.589136e+06
P1	1.308075e+08
P2	1.393426e+09
P3	2.516735e+02
P4	1.436016e+02
P5	5.965634e+02
P6	1.595524e+10
P7	2.214294e+00
P8	4.023184e+05
P9	1.030899e+03
P10	7.804804e+03
P11	1.200152e+05
P12	1.152137e-03
P13	3.725537e-03
P14	7.880272e+02
P15	2.933509e-01
P16	1.895133e-01
P17	1.360608e-01
P18	8.157565e-01
P19	2.121249e-01
P20	2.093662e+08
P21	3.584712e+08
P22	8.746282e+02
P23	1.381894e+02
P24	2.584749e-09
P25	2.958823e+04
P26	3.024277e+01
P27	2.066832e-09
P28	4.428926e-10
P29	4.428926e-10
P30	3.477022e+02
P31	8.321771e-06
P32	1.738206e+07
P33	2.246949e+07
P34	2.543716e+06
P35	4.062093e+06
P36	4.265081e+09
P37	7.698036e+09
P38	0.000000e+00
P39	0.000000e+00
P40	4.924667e+06
P41	2.915400e+04
P42	1.188023e+10
P43	1.702170e+01
P44	6.035792e+05
P45	4.442793e+07
P46	3.083990e+07
P47	1.883752e+09
P48	3.399096e+07
P49	5.516974e+05
P50	1.875388e+03
P51	5.774038e+06
P52	1.028967e+10
P53	1.118756e+09
P54	2.503746e+09
P56	3.467573e+03
P57	6.909999e-01
P58	3.048401e+02
P59	3.810501e+02
P60	7.621002e+01
P61	5.677912e+00
P62	3.470117e+03
P63	7.683831e+03
P64	6.692369e+03
P65	5.453041e+03
P66	1.487193e+03
P67	3.101223e+08
P68	6.221317e+08
P69	2.136879e+06
P70	1.278323e-03
P71	1.297170e+07
T1	4.074260e-15
T2	1.178433e-27
T3	1.031868e-23
