Type	Std	Rate
R1	4.570612e-91	1.884219e-92	1.071628e-92	4.886608e-93	1.046937e-93	1.753987e-94	1.270769e-95	5.158178e-97	9.328608e-99	1.076652e-100	6.995462e-103	2.706450e-105	8.259576e-106	3.034598e-104	7.520812e-103	1.458625e-101	2.314753e-100	3.184807e-99	4.037381e-98	4.954021e-97	5.146713e-96	4.600911e-95	3.695742e-94	2.830654e-93	2.634449e-92	4.556188e-91	1.602604e-89	7.741087e-88	4.082469e-86	2.095237e-84	9.891912e-83	3.891308e-81	1.354598e-79	4.156258e-78	9.548788e-77	1.383166e-75	1.062916e-74	3.941090e-74	7.183507e-74	1.600275e-73	1.639543e-72	1.590092e-71	1.068189e-70	5.074095e-70	1.842483e-69	5.761321e-69	1.845259e-68	5.907020e-68	1.433979e-67	2.076163e-67	
R2	1.682175e-90	3.394940e-92	3.131720e-92	5.763674e-92	4.027928e-92	2.111842e-92	4.161549e-93	4.831406e-94	2.159816e-95	3.688989e-97	4.257507e-99	1.592192e-100	1.480534e-100	5.940791e-99	1.761110e-97	4.255040e-96	8.466595e-95	1.443088e-93	2.230857e-92	3.278154e-91	3.749977e-90	3.600286e-89	3.446419e-88	4.305986e-87	9.946607e-86	4.655347e-84	3.787938e-82	3.985419e-80	4.865506e-78	6.243221e-76	7.296982e-74	6.382012e-72	4.486194e-70	2.667336e-68	1.204540e-66	3.822394e-65	6.771615e-64	1.026439e-62	1.557437e-61	1.821500e-60	2.616355e-59	2.401225e-58	1.354939e-57	5.151137e-57	1.462680e-56	3.453189e-56	7.644564e-56	1.599515e-55	2.790905e-55	3.637722e-55	
R3	1.007515e-43	1.177757e-44	2.029764e-44	3.488458e-44	3.721502e-44	3.753347e-44	2.134299e-44	8.191771e-45	1.330156e-45	1.189403e-46	9.832476e-48	9.789324e-49	1.171310e-48	1.705598e-47	1.964749e-46	1.906623e-45	1.608117e-44	1.233698e-43	9.036358e-43	6.583406e-42	4.289011e-41	2.548999e-40	1.435960e-39	7.954665e-39	4.922206e-38	4.228035e-37	5.325630e-36	8.186511e-35	1.395709e-33	2.447942e-32	3.993325e-31	5.327566e-30	6.105683e-29	6.191306e-28	5.130772e-27	3.213093e-26	1.400327e-25	4.053702e-25	7.939325e-25	1.677194e-24	6.682548e-24	2.377454e-23	6.618241e-23	1.471477e-22	2.747581e-22	4.614000e-22	7.645528e-22	1.234183e-21	1.682390e-21	1.684917e-21	
R4	6.568013e-35	5.166981e-35	5.137414e-34	5.863554e-33	4.884150e-32	4.631261e-31	3.059403e-30	1.681580e-29	4.524194e-29	5.393315e-29	6.568730e-29	1.817074e-28	1.083714e-27	1.184902e-26	1.032266e-25	6.963914e-25	3.661240e-24	1.567779e-23	5.791863e-23	1.927110e-22	4.490045e-22	8.049100e-22	1.246168e-21	1.792547e-21	2.766475e-21	5.716057e-21	1.657496e-20	5.543370e-20	1.924107e-19	6.710145e-19	2.484828e-18	9.706366e-18	3.895580e-17	1.656457e-16	8.110335e-16	3.833778e-15	1.100232e-14	1.587113e-14	1.345062e-14	9.578856e-15	9.541065e-15	1.117952e-14	1.729897e-14	2.635170e-14	3.217353e-14	3.068508e-14	2.408061e-14	1.681353e-14	1.229095e-14	7.826409e-14	
R5	1.999467e-62	3.993854e-64	1.346525e-64	3.949144e-65	6.159977e-66	7.620133e-67	4.347229e-68	1.328351e-69	1.313484e-71	5.230275e-74	1.331897e-76	2.635617e-79	3.893419e-80	6.009196e-79	6.922244e-78	6.717453e-77	5.665753e-76	4.346591e-75	3.183709e-74	2.319480e-73	1.511113e-72	8.980690e-72	5.059208e-71	2.802605e-70	1.734203e-69	1.489631e-68	1.876338e-67	2.884292e-66	4.917397e-65	8.624653e-64	1.406939e-62	1.877023e-61	2.151172e-60	2.181342e-59	1.807694e-58	1.132052e-57	4.933715e-57	1.428232e-56	2.797268e-56	5.909337e-56	2.354530e-55	8.376888e-55	2.331977e-54	5.184998e-54	9.681914e-54	1.625946e-53	2.694357e-53	4.349589e-53	5.929478e-53	5.938650e-53	
R6	1.412818e-51	2.825754e-51	2.596726e-50	3.833728e-49	1.121538e-47	6.428346e-46	2.373517e-44	6.348156e-43	1.458066e-41	4.137741e-39	1.627400e-36	3.861500e-34	3.245729e-32	1.059631e-30	2.427563e-29	4.153839e-28	5.829641e-27	7.308500e-26	8.828525e-25	1.098311e-23	1.377406e-22	1.697472e-21	2.057814e-20	2.510990e-19	3.507026e-18	7.015187e-17	2.169801e-15	8.677403e-14	3.926256e-12	1.711100e-10	6.165137e-09	1.579326e-07	3.110173e-06	4.873385e-05	5.477625e-04	4.040355e-03	1.805044e-02	4.683568e-02	7.030130e-02	9.292061e-02	1.832054e-01	1.992027e-01	8.284331e-02	2.102179e-02	9.528004e-03	6.222986e-03	4.275326e-03	2.815055e-03	1.491000e-03	4.014044e-03	
R7	3.120796e-64	2.673760e-64	5.249680e-63	1.975070e-61	6.567912e-60	2.764853e-58	9.768294e-57	9.002902e-55	1.211822e-52	2.808762e-50	1.316639e-47	5.803812e-45	4.574362e-43	1.253032e-41	2.302190e-40	2.938690e-39	2.738944e-38	1.971681e-37	1.166705e-36	5.973705e-36	2.355782e-35	7.558681e-35	2.402520e-34	1.086608e-33	9.946207e-33	2.042432e-31	9.611941e-30	7.940754e-28	8.567120e-26	9.123834e-24	7.963042e-22	4.806924e-20	2.265495e-18	8.804918e-17	2.452035e-15	4.339562e-14	4.411455e-13	2.457761e-12	7.492620e-12	1.928842e-11	7.534679e-11	2.360427e-10	6.563418e-10	1.225990e-09	1.371096e-09	1.074043e-09	6.487561e-10	3.422527e-10	2.299321e-10	6.926013e-10	
R8	7.363114e-37	2.406947e-37	8.735019e-37	3.068989e-36	6.533727e-36	1.383579e-35	1.812081e-35	1.018095e-35	1.820649e-35	2.133410e-33	1.121819e-31	4.834249e-30	1.168501e-28	1.637645e-27	1.863857e-26	1.693549e-25	1.252615e-24	7.769014e-24	4.213873e-23	2.088485e-22	8.661571e-22	3.034640e-21	9.462919e-21	2.824884e-20	9.795612e-20	5.514104e-19	6.179070e-18	1.182598e-16	3.005024e-15	7.617119e-14	1.568829e-12	2.261287e-11	2.538158e-10	2.353224e-09	1.644746e-08	8.020761e-08	2.589944e-07	5.503395e-07	7.703465e-07	1.062668e-06	2.551307e-06	5.980465e-06	1.781315e-05	4.655090e-05	8.070455e-05	1.004284e-04	1.013754e-04	8.999560e-05	7.986847e-05	1.636029e-04	
R9	5.535044e-46	5.670696e-46	5.586993e-46	3.323415e-44	5.510491e-42	4.364765e-40	1.280264e-38	1.615749e-36	3.137954e-33	1.955086e-29	4.096630e-26	3.396328e-24	1.234220e-23	2.602801e-23	3.981920e-23	4.868063e-23	4.942095e-23	4.336418e-23	3.415149e-23	2.455305e-23	1.423125e-23	7.362832e-24	4.496308e-24	5.481345e-24	1.941757e-23	1.350266e-22	1.228386e-21	1.206818e-20	1.264871e-19	1.385177e-18	1.531694e-17	1.566408e-16	1.571691e-15	1.574889e-14	1.418786e-13	1.044703e-12	5.693173e-12	2.143625e-11	5.570799e-11	1.048908e-10	1.563928e-10	2.064919e-10	2.566067e-10	3.097041e-10	3.703393e-10	4.484459e-10	5.692927e-10	7.857167e-10	1.396179e-09	5.180052e-09	
R10	1.246189e-45	4.003329e-48	2.117018e-50	7.735731e-53	1.784225e-55	2.392243e-58	1.666198e-61	6.850653e-65	2.374985e-68	1.053605e-71	1.113574e-75	9.528335e-81	1.159856e-83	9.475675e-84	6.071152e-84	3.712208e-84	2.178334e-84	1.238589e-84	6.914678e-85	3.830157e-85	1.976298e-85	9.726388e-86	4.719787e-86	2.293102e-86	1.127031e-86	5.663448e-87	3.011380e-87	1.911176e-87	1.949806e-87	3.683835e-87	9.272405e-87	2.297875e-86	5.589307e-86	1.386460e-85	3.408024e-85	8.131688e-85	1.803976e-84	3.446427e-84	5.161646e-84	5.508307e-84	4.457974e-84	3.385946e-84	2.539877e-84	1.849814e-84	1.284337e-84	8.563668e-85	5.670826e-85	3.804793e-85	2.748964e-85	2.343969e-85	
